date,rc_real_gold_252d,rc_dollar_gold_252d
2024-08-28,-0.32283772525664184,-0.3248221515211439
2024-08-29,-0.32268191498548293,-0.32307289585437793
2024-08-30,-0.32618356133647114,-0.3248450093580193
2024-09-02,-0.32654870510731976,-0.3248782861732698
2024-09-03,-0.3267141487432502,-0.3265668324636054
2024-09-04,-0.3259147348779056,-0.3261694869602991
2024-09-05,-0.3251649392250374,-0.3264473250468423
2024-09-06,-0.3239476142452187,-0.3265897611069237
2024-09-09,-0.32006619203221714,-0.3216459828669948
2024-09-10,-0.3202750326705335,-0.31989884725673745
2024-09-11,-0.31703982288281324,-0.3162435442662962
2024-09-12,-0.3089305432283026,-0.3176433534131752
2024-09-13,-0.30822070845829974,-0.3164318785646541
2024-09-16,-0.3124416562386146,-0.32093049970671467
2024-09-17,-0.3088211419326948,-0.3260541151425817
2024-09-18,-0.30464380898951976,-0.317731282526427
2024-09-19,-0.30409895523618685,-0.31935296603879915
2024-09-20,-0.30187951262525203,-0.3172633065190142
2024-09-23,-0.30160166859884874,-0.3165270467676529
2024-09-24,-0.3062735497185626,-0.31866122607542946
2024-09-25,-0.30945827686643174,-0.32159542006710995
2024-09-26,-0.3159836064460101,-0.3251783837981898
2024-09-27,-0.3105729675303026,-0.3242072417161484
2024-09-30,-0.31114341631456793,-0.3242593954389014
2024-10-01,-0.3051952450862123,-0.3416436553544059
2024-10-02,-0.30357579110891253,-0.3443240253164283
2024-10-03,-0.3063502834334731,-0.34400425466662343
2024-10-04,-0.31484855528599265,-0.36076944844410974
2024-10-07,-0.318617922258735,-0.3625612007750163
2024-10-08,-0.31878944502195383,-0.36410417347746304
2024-10-09,-0.319074387940482,-0.36807713258018787
2024-10-10,-0.31944223060492966,-0.3658925698571316
2024-10-11,-0.3242408347532964,-0.3671813240856514
2024-10-14,-0.32554007820601066,-0.367556253876743
2024-10-15,-0.32475530300589617,-0.36075467858872573
2024-10-16,-0.3236280640713506,-0.36012642675479184
2024-10-17,-0.3201526923604256,-0.3562955414594992
2024-10-18,-0.3275673948269961,-0.3580963157095143
2024-10-21,-0.32606983306239706,-0.35989695085178786
2024-10-22,-0.3262921705776883,-0.36464038773132446
2024-10-23,-0.32746187464536575,-0.36970296244833434
2024-10-24,-0.33233648471291016,-0.369076597349557
2024-10-25,-0.336917716141981,-0.370069939027785
2024-10-28,-0.34646582603606774,-0.37031427689073687
2024-10-29,-0.34765253019894926,-0.3705357847698163
2024-10-30,-0.3500619291052112,-0.37303628962732854
2024-10-31,-0.3446000719178004,-0.3670615674760668
2024-11-01,-0.34547708540200933,-0.36910220520126524
2024-11-04,-0.34303582076139105,-0.3709822329873983
2024-11-05,-0.34330753228144084,-0.37256396478398773
2024-11-06,-0.35070762432776365,-0.4076906490138873
2024-11-07,-0.36091574580939084,-0.4175823115574928
2024-11-08,-0.3581185310037372,-0.41916570605623127
2024-11-11,-0.3530770037364968,-0.4124572941737035
2024-11-12,-0.36134342131051256,-0.41565101506403174
2024-11-13,-0.36033952319294754,-0.41626288058465344
2024-11-14,-0.3562267836104384,-0.41069815853164027
2024-11-15,-0.35699522054018934,-0.4104568123216881
2024-11-18,-0.35601956140975477,-0.4123221998807663
2024-11-19,-0.34493768385943374,-0.41007638280858166
2024-11-20,-0.33498049025916,-0.3976328040045936
2024-11-21,-0.33634606779752935,-0.3940566370012989
2024-11-22,-0.33699087170143444,-0.38680006882366735
2024-11-25,-0.30125517153471615,-0.3579560703912884
2024-11-26,-0.2958998905018878,-0.3558861221699724
2024-11-27,-0.29479768980408705,-0.35357645301016793
